Customer_ID,Visit_Date,Park_Location,Customer_Type,Group_Size,Ticket_Type,Booking_Channel,Campaign_Source,Discount_Percent,Season,Is_Weekend,Ticket_Revenue_INR,FnB_Spend_INR,Merchandise_Spend_INR,Total_Revenue_INR,Repeat_Visitor,Satisfaction_Score,At_Risk_Customer
WON102131,2025-07-02,Hyderabad,Solo,1,Regular,Website,Offline/Hoarding,15,Monsoon,No,816.0,272.29,250.88,1339.17,No,3.7,No
WON102692,2025-07-02,Bangalore,School/College Group,28,Combo (Park+Resort),Mobile App,Social Media Ad,0,Monsoon,No,85120.0,14589.93,3815.5,103525.43,No,2.1,Yes
WON100332,2025-07-02,Bangalore,Friends Group,9,Regular,Website,Social Media Ad,15,Monsoon,No,7344.0,2804.29,0.0,10148.29,No,3.3,No
WON102360,2025-07-02,Kochi,Couple,2,Regular,Walk-in,Email Campaign,0,Monsoon,No,1920.0,230.73,543.81,2694.54,No,3.5,No
WON100898,2025-07-02,Hyderabad,Corporate Group,24,Season Pass,Mobile App,Search/SEM,0,Monsoon,No,86400.0,14224.76,5331.04,105955.8,Yes,4.1,No
WON101283,2025-07-02,Bangalore,Friends Group,6,Combo (Park+Resort),Mobile App,Social Media Ad,0,Monsoon,No,18240.0,3620.9,1714.67,23575.57,No,2.8,Yes
WON100377,2025-07-03,Bangalore,Corporate Group,54,Regular,Website,Offline/Hoarding,20,Monsoon,No,41472.0,13457.85,0.0,54929.85,Yes,2.8,No
WON100794,2025-07-03,Kochi,Friends Group,7,Combo (Park+Resort),Website,Email Campaign,10,Monsoon,No,19152.0,3406.27,1625.93,24184.2,Yes,3.0,No
WON101047,2025-07-03,Hyderabad,Family,4,Regular,Website,None (Organic),0,Monsoon,No,3840.0,1654.92,1573.6,7068.52,No,3.2,No
WON101970,2025-07-03,Kochi,Family,5,Regular,Mobile App,Social Media Ad,0,Monsoon,No,4800.0,1737.06,1690.04,8227.1,No,3.1,No
WON101576,2025-07-03,Bangalore,Friends Group,6,Regular,Corporate Tie-up,Social Media Ad,15,Monsoon,No,4896.0,2963.55,658.11,8517.66,No,2.7,Yes
WON102516,2025-07-03,Hyderabad,Family,4,Fast Track,Website,None (Organic),0,Monsoon,No,7040.0,1930.56,0.0,8970.56,No,2.9,Yes
WON100882,2025-07-03,Bangalore,Family,4,Fast Track,Travel Agent/OTA,None (Organic),0,Monsoon,No,7040.0,784.59,189.56,8014.15,No,2.4,Yes
WON102018,2025-07-03,Bangalore,Family,5,Combo (Park+Resort),Mobile App,None (Organic),0,Monsoon,No,15200.0,2011.63,1402.43,18614.06,No,2.9,Yes
WON100171,2025-07-03,Hyderabad,Friends Group,7,Regular,Walk-in,Email Campaign,0,Monsoon,No,6720.0,3565.85,484.79,10770.64,No,2.6,Yes
WON100371,2025-07-03,Hyderabad,Couple,2,Regular,Website,None (Organic),0,Monsoon,No,1920.0,562.92,300.2,2783.12,No,3.9,No
WON102719,2025-07-03,Kochi,Couple,2,Combo (Park+Resort),Corporate Tie-up,Social Media Ad,25,Monsoon,No,4560.0,761.3,241.63,5562.93,No,2.9,Yes
WON101513,2025-07-03,Bangalore,Solo,1,Regular,Mobile App,Email Campaign,0,Monsoon,No,960.0,409.66,149.74,1519.4,No,3.4,No
WON100925,2025-07-03,Bangalore,Family,3,Regular,Website,Search/SEM,0,Monsoon,No,2880.0,1623.34,896.96,5400.3,No,3.1,No
WON102212,2025-07-03,Bangalore,Couple,2,Combo (Park+Resort),Walk-in,None (Organic),0,Monsoon,No,6080.0,676.07,379.43,7135.5,No,3.5,No
WON100237,2025-07-03,Bangalore,Friends Group,8,Regular,Travel Agent/OTA,Email Campaign,15,Monsoon,No,6528.0,2165.57,1408.94,10102.51,Yes,3.8,No
WON101049,2025-07-03,Bangalore,Family,4,Regular,Website,Referral,0,Monsoon,No,3840.0,1891.84,632.31,6364.15,No,2.4,Yes
WON100936,2025-07-03,Hyderabad,Friends Group,4,Season Pass,Corporate Tie-up,Social Media Ad,20,Monsoon,No,11520.0,1366.6,1278.82,14165.42,Yes,2.6,No
WON101202,2025-07-03,Bangalore,Family,3,Fast Track,Website,Referral,0,Monsoon,No,5280.0,1146.14,682.81,7108.95,No,3.2,No
WON101201,2025-07-03,Hyderabad,Family,6,Regular,Corporate Tie-up,Email Campaign,25,Monsoon,No,4320.0,2369.58,788.42,7478.0,Yes,3.3,No
WON102685,2025-07-03,Kochi,Family,3,Season Pass,Walk-in,Offline/Hoarding,0,Monsoon,No,10800.0,1398.85,282.74,12481.59,Yes,3.4,No
WON102703,2025-07-03,Bangalore,Corporate Group,16,Combo (Park+Resort),Website,None (Organic),0,Monsoon,No,48640.0,6784.57,727.06,56151.63,Yes,3.7,No
WON100010,2025-07-03,Kochi,Friends Group,6,Regular,Mobile App,None (Organic),0,Monsoon,No,5760.0,2760.06,484.36,9004.42,No,2.2,Yes
WON101813,2025-07-03,Kochi,School/College Group,69,Regular,Travel Agent/OTA,Referral,10,Monsoon,No,59616.0,27666.29,1160.43,88442.72,No,2.7,Yes
WON101746,2025-07-03,Hyderabad,Friends Group,5,Regular,Travel Agent/OTA,Social Media Ad,15,Monsoon,No,4080.0,1832.38,1068.34,6980.72,No,3.4,No
WON102708,2025-07-03,Bangalore,Family,5,Fast Track,Website,Search/SEM,0,Monsoon,No,8800.0,2106.78,1862.37,12769.15,No,3.6,No
WON102421,2025-07-03,Bangalore,Family,4,Combo (Park+Resort),Website,None (Organic),0,Monsoon,No,12160.0,492.78,1071.87,13724.65,Yes,3.7,No
WON101073,2025-07-03,Hyderabad,Friends Group,8,Fast Track,Website,Referral,0,Monsoon,No,14080.0,2810.69,1057.83,17948.52,No,2.5,Yes
WON100640,2025-07-03,Hyderabad,Couple,2,Regular,Website,None (Organic),0,Monsoon,No,1920.0,522.94,0.0,2442.94,No,2.2,Yes
WON100100,2025-07-04,Kochi,Couple,2,Regular,Mobile App,Search/SEM,15,Monsoon,No,1632.0,644.58,436.97,2713.55,No,3.6,No
WON100878,2025-07-04,Kochi,Solo,1,Regular,Walk-in,None (Organic),0,Monsoon,No,960.0,536.51,286.98,1783.49,No,3.4,No
WON100515,2025-07-04,Bangalore,Family,5,Fast Track,Travel Agent/OTA,Search/SEM,10,Monsoon,No,7920.0,1757.16,845.86,10523.02,No,3.6,No
WON100874,2025-07-04,Bangalore,Couple,2,Regular,Mobile App,Social Media Ad,10,Monsoon,No,1728.0,917.63,381.17,3026.8,Yes,3.4,No
WON100098,2025-07-04,Bangalore,Family,3,Regular,Mobile App,Social Media Ad,0,Monsoon,No,2880.0,1829.42,928.24,5637.66,No,2.1,Yes
WON101247,2025-07-04,Bangalore,Couple,2,Regular,Website,None (Organic),0,Monsoon,No,1920.0,772.51,483.47,3175.98,No,2.3,Yes
WON102829,2025-07-04,Kochi,Family,6,Regular,Travel Agent/OTA,None (Organic),0,Monsoon,No,5760.0,2743.1,791.29,9294.39,Yes,3.7,No
WON100974,2025-07-04,Bangalore,Couple,2,Regular,Travel Agent/OTA,Email Campaign,10,Monsoon,No,1728.0,436.64,421.21,2585.85,No,4.6,No
WON100356,2025-07-04,Hyderabad,Couple,2,Fast Track,Walk-in,Referral,15,Monsoon,No,2992.0,124.89,255.91,3372.8,Yes,3.4,No
WON101159,2025-07-04,Bangalore,Couple,2,Combo (Park+Resort),Mobile App,None (Organic),0,Monsoon,No,6080.0,1314.29,273.27,7667.56,No,1.7,Yes
WON101435,2025-07-04,Bangalore,Friends Group,8,Regular,Website,Referral,0,Monsoon,No,7680.0,2682.81,692.11,11054.92,No,4.6,No
WON100901,2025-07-04,Bangalore,Family,6,Regular,Corporate Tie-up,Social Media Ad,15,Monsoon,No,4896.0,2955.85,309.82,8161.67,No,4.2,No
WON101454,2025-07-04,Bangalore,Friends Group,7,Fast Track,Mobile App,Search/SEM,0,Monsoon,No,12320.0,3237.13,1354.72,16911.85,No,3.0,No
WON100290,2025-07-04,Bangalore,Family,3,Season Pass,Website,None (Organic),0,Monsoon,No,10800.0,1456.68,571.62,12828.3,Yes,2.8,No
WON100312,2025-07-04,Bangalore,Corporate Group,26,Season Pass,Mobile App,Referral,0,Monsoon,No,93600.0,11450.67,2302.2,107352.87,Yes,3.5,No
WON101502,2025-07-04,Kochi,School/College Group,60,Regular,Travel Agent/OTA,Offline/Hoarding,20,Monsoon,No,46080.0,16303.44,5808.63,68192.07,No,2.8,Yes
WON101233,2025-07-04,Kochi,Couple,2,Combo (Park+Resort),Website,None (Organic),0,Monsoon,No,6080.0,651.89,268.7,7000.59,No,3.7,No
WON101969,2025-07-04,Kochi,Couple,2,Fast Track,Website,Referral,20,Monsoon,No,2816.0,1019.35,251.28,4086.63,No,4.1,No
WON100557,2025-07-04,Hyderabad,Friends Group,7,Regular,Walk-in,Offline/Hoarding,0,Monsoon,No,6720.0,2226.39,1479.43,10425.82,No,2.8,Yes
WON101339,2025-07-04,Bangalore,Solo,1,Regular,Travel Agent/OTA,Social Media Ad,20,Monsoon,No,768.0,433.36,103.78,1305.14,Yes,2.2,No
WON102397,2025-07-04,Bangalore,Solo,1,Regular,Travel Agent/OTA,None (Organic),0,Monsoon,No,960.0,428.39,217.27,1605.66,No,3.2,No
WON101696,2025-07-04,Bangalore,Corporate Group,33,Regular,Walk-in,None (Organic),0,Monsoon,No,31680.0,21058.24,4551.07,57289.31,No,3.0,No
WON102413,2025-07-04,Kochi,Family,5,Regular,Website,Offline/Hoarding,15,Monsoon,No,4080.0,1042.88,523.81,5646.69,No,2.3,Yes
WON102418,2025-07-04,Kochi,Family,4,Regular,Website,Social Media Ad,15,Monsoon,No,3264.0,1621.73,1068.26,5953.99,No,2.4,Yes
WON102975,2025-07-04,Kochi,Solo,1,Regular,Walk-in,Search/SEM,10,Monsoon,No,864.0,388.84,116.51,1369.35,No,2.7,Yes
WON102080,2025-07-04,Bangalore,Solo,1,Fast Track,Website,Search/SEM,0,Monsoon,No,1760.0,346.38,139.92,2246.3,No,3.3,No
WON101300,2025-07-04,Bangalore,Couple,2,Regular,Travel Agent/OTA,None (Organic),0,Monsoon,No,1920.0,709.56,51.43,2680.99,No,3.2,No
WON101349,2025-07-05,Bangalore,Couple,2,Combo (Park+Resort),Corporate Tie-up,None (Organic),15,Monsoon,Yes,5684.8,983.99,389.0,7057.79,No,3.5,No
WON102857,2025-07-05,Bangalore,Family,3,Regular,Mobile App,Search/SEM,10,Monsoon,Yes,2851.2,1719.79,619.11,5190.1,No,3.3,No
WON101650,2025-07-05,Hyderabad,Couple,2,Fast Track,Walk-in,Offline/Hoarding,15,Monsoon,Yes,3291.2,815.83,210.34,4317.37,No,2.4,Yes
WON101288,2025-07-05,Bangalore,Family,5,Regular,Walk-in,Social Media Ad,0,Monsoon,Yes,5280.0,1856.62,719.54,7856.16,No,3.2,No
WON102417,2025-07-05,Bangalore,School/College Group,27,Fast Track,Mobile App,Search/SEM,10,Monsoon,Yes,47044.8,11796.01,2763.76,61604.57,No,2.1,Yes
WON101780,2025-07-05,Bangalore,Corporate Group,39,Fast Track,Travel Agent/OTA,Search/SEM,15,Monsoon,Yes,64178.4,7929.12,8601.62,80709.14,Yes,3.0,No
WON102241,2025-07-05,Bangalore,Family,5,Regular,Walk-in,None (Organic),0,Monsoon,Yes,5280.0,2440.8,2022.05,9742.85,No,2.7,Yes
WON100291,2025-07-05,Kochi,Friends Group,4,Regular,Travel Agent/OTA,Search/SEM,10,Monsoon,Yes,3801.6,1394.8,571.37,5767.77,No,3.6,No
WON100628,2025-07-05,Bangalore,Family,4,Fast Track,Website,None (Organic),0,Monsoon,Yes,7744.0,2151.03,611.11,10506.14,No,2.4,Yes
WON100145,2025-07-05,Kochi,Couple,2,Season Pass,Walk-in,Social Media Ad,10,Monsoon,Yes,7128.0,798.33,36.97,7963.3,Yes,3.0,No
WON102297,2025-07-05,Kochi,Family,3,Fast Track,Corporate Tie-up,Social Media Ad,20,Monsoon,Yes,4646.4,1723.88,553.74,6924.02,No,3.3,No
WON100764,2025-07-05,Hyderabad,Family,5,Regular,Mobile App,None (Organic),0,Monsoon,Yes,5280.0,1704.16,1187.74,8171.9,Yes,3.8,No
WON102010,2025-07-05,Bangalore,Corporate Group,26,Fast Track,Mobile App,Search/SEM,10,Monsoon,Yes,45302.4,8397.35,6914.81,60614.56,No,3.4,No
WON100540,2025-07-05,Kochi,Corporate Group,53,Combo (Park+Resort),Walk-in,Referral,20,Monsoon,Yes,141785.6,7151.9,11287.08,160224.58,Yes,1.8,No
WON100168,2025-07-05,Hyderabad,Family,6,Combo (Park+Resort),Mobile App,None (Organic),0,Monsoon,Yes,20064.0,285.4,1132.59,21481.99,No,2.4,Yes
WON102899,2025-07-05,Bangalore,Family,4,Regular,Website,Search/SEM,10,Monsoon,Yes,3801.6,2411.25,1495.84,7708.69,No,3.1,No
WON100856,2025-07-05,Bangalore,Family,6,Regular,Mobile App,Search/SEM,15,Monsoon,Yes,5385.6,2564.6,489.24,8439.44,No,2.9,Yes
WON101013,2025-07-05,Bangalore,Couple,2,Regular,Travel Agent/OTA,None (Organic),0,Monsoon,Yes,2112.0,812.0,99.49,3023.49,No,3.8,No
WON101903,2025-07-05,Kochi,Family,6,Regular,Website,Social Media Ad,10,Monsoon,Yes,5702.4,925.01,1485.76,8113.17,No,2.6,Yes
WON101019,2025-07-05,Kochi,School/College Group,41,Season Pass,Travel Agent/OTA,Referral,10,Monsoon,Yes,146124.0,17696.64,9101.44,172922.08,No,3.2,No
WON100610,2025-07-05,Hyderabad,Family,3,Season Pass,Mobile App,Offline/Hoarding,0,Monsoon,Yes,11880.0,1214.86,0.0,13094.86,No,3.6,No
WON100241,2025-07-05,Kochi,Family,3,Regular,Corporate Tie-up,Referral,15,Monsoon,Yes,2692.8,383.05,745.98,3821.83,Yes,2.4,No
WON101402,2025-07-05,Hyderabad,Family,3,Regular,Walk-in,None (Organic),0,Monsoon,Yes,3168.0,1075.66,572.47,4816.13,No,2.7,Yes
WON101030,2025-07-05,Bangalore,Family,4,Regular,Travel Agent/OTA,None (Organic),0,Monsoon,Yes,4224.0,1517.68,604.37,6346.05,No,2.7,Yes
WON102858,2025-07-05,Hyderabad,Family,3,Combo (Park+Resort),Mobile App,Search/SEM,10,Monsoon,Yes,9028.8,802.45,763.24,10594.49,No,3.5,No
WON102182,2025-07-05,Hyderabad,Family,4,Regular,Walk-in,None (Organic),0,Monsoon,Yes,4224.0,1656.75,11.69,5892.44,No,2.0,Yes
WON100335,2025-07-05,Kochi,Family,4,Combo (Park+Resort),Travel Agent/OTA,Offline/Hoarding,0,Monsoon,Yes,13376.0,1644.61,1134.61,16155.22,Yes,2.5,No
WON102467,2025-07-05,Kochi,Family,4,Combo (Park+Resort),Mobile App,Search/SEM,0,Monsoon,Yes,13376.0,750.01,727.24,14853.25,Yes,2.3,No
WON101416,2025-07-05,Hyderabad,Friends Group,5,Fast Track,Travel Agent/OTA,Email Campaign,10,Monsoon,Yes,8712.0,1657.67,350.76,10720.43,No,3.2,No
WON100042,2025-07-05,Bangalore,Corporate Group,42,Regular,Website,Search/SEM,15,Monsoon,Yes,37699.2,17480.7,1835.32,57015.22,No,3.2,No
WON101273,2025-07-05,Hyderabad,Family,3,Regular,Mobile App,Search/SEM,0,Monsoon,Yes,3168.0,555.39,386.95,4110.34,Yes,3.5,No
WON100285,2025-07-05,Bangalore,Family,3,Regular,Website,Offline/Hoarding,15,Monsoon,Yes,2692.8,567.74,611.49,3872.03,No,3.2,No
WON102529,2025-07-06,Kochi,Family,6,Regular,Walk-in,Social Media Ad,15,Monsoon,Yes,5385.6,1933.9,242.99,7562.49,No,2.2,Yes
WON101826,2025-07-06,Bangalore,Friends Group,8,Season Pass,Travel Agent/OTA,Social Media Ad,0,Monsoon,Yes,31680.0,3477.81,1753.01,36910.82,Yes,3.5,No
WON102365,2025-07-06,Kochi,Couple,2,Fast Track,Walk-in,None (Organic),0,Monsoon,Yes,3872.0,1242.39,312.58,5426.97,No,3.6,No
WON100347,2025-07-06,Bangalore,School/College Group,58,Regular,Mobile App,Referral,10,Monsoon,Yes,55123.2,9398.16,8917.74,73439.1,No,3.6,No
WON100334,2025-07-06,Kochi,Family,5,Regular,Walk-in,Email Campaign,20,Monsoon,Yes,4224.0,1448.84,907.63,6580.47,No,3.5,No
WON102283,2025-07-06,Kochi,Corporate Group,24,Fast Track,Website,Referral,10,Monsoon,Yes,41817.6,10935.77,1623.52,54376.89,No,3.2,No
WON101794,2025-07-06,Bangalore,Couple,2,Regular,Walk-in,Social Media Ad,15,Monsoon,Yes,1795.2,1197.52,86.67,3079.39,No,2.6,Yes
WON100599,2025-07-06,Kochi,Family,4,Regular,Mobile App,Social Media Ad,15,Monsoon,Yes,3590.4,2065.48,299.95,5955.83,No,2.4,Yes
WON101548,2025-07-06,Kochi,Friends Group,5,Fast Track,Website,Social Media Ad,0,Monsoon,Yes,9680.0,1439.79,672.4,11792.19,No,3.2,No
WON101866,2025-07-06,Kochi,Corporate Group,44,Fast Track,Walk-in,Social Media Ad,15,Monsoon,Yes,72406.4,22849.19,7105.62,102361.21,No,2.8,Yes
WON101194,2025-07-06,Bangalore,Family,4,Fast Track,Walk-in,Social Media Ad,0,Monsoon,Yes,7744.0,1328.21,1642.72,10714.93,No,3.1,No
WON100472,2025-07-06,Kochi,Solo,1,Regular,Website,Social Media Ad,20,Monsoon,Yes,844.8,344.67,286.24,1475.71,No,3.5,No
WON102776,2025-07-06,Hyderabad,Friends Group,6,Regular,Walk-in,Offline/Hoarding,0,Monsoon,Yes,6336.0,198.14,522.75,7056.89,No,2.5,Yes
WON100514,2025-07-06,Bangalore,Couple,2,Regular,Walk-in,Social Media Ad,0,Monsoon,Yes,2112.0,670.89,290.23,3073.12,No,1.7,Yes
WON102606,2025-07-06,Bangalore,Corporate Group,32,Combo (Park+Resort),Walk-in,Referral,10,Monsoon,Yes,96307.2,12052.22,0.0,108359.42,Yes,2.6,No
WON100957,2025-07-06,Kochi,Family,4,Regular,Mobile App,Referral,0,Monsoon,Yes,4224.0,956.36,845.04,6025.4,No,3.0,No
WON102203,2025-07-06,Bangalore,Family,5,Regular,Website,Social Media Ad,20,Monsoon,Yes,4224.0,2206.66,598.76,7029.42,No,2.6,Yes
WON102939,2025-07-06,Hyderabad,Friends Group,9,Fast Track,Mobile App,Search/SEM,0,Monsoon,Yes,17424.0,5443.77,728.21,23595.98,No,3.3,No
WON102231,2025-07-06,Bangalore,Family,5,Combo (Park+Resort),Website,Referral,0,Monsoon,Yes,16720.0,1743.07,1733.35,20196.42,No,3.1,No
WON102644,2025-07-06,Bangalore,Couple,2,Regular,Mobile App,Referral,15,Monsoon,Yes,1795.2,518.23,332.24,2645.67,No,2.3,Yes
WON100029,2025-07-06,Bangalore,Solo,1,Season Pass,Mobile App,None (Organic),0,Monsoon,Yes,3960.0,450.56,49.14,4459.7,Yes,2.1,No
WON101072,2025-07-06,Kochi,Solo,1,Fast Track,Walk-in,Search/SEM,10,Monsoon,Yes,1742.4,275.65,74.49,2092.54,No,2.8,Yes
WON101465,2025-07-06,Kochi,School/College Group,68,Fast Track,Website,None (Organic),0,Monsoon,Yes,131648.0,27909.5,23883.51,183441.01,No,3.3,No
WON100058,2025-07-06,Bangalore,Family,5,Fast Track,Mobile App,Referral,20,Monsoon,Yes,7744.0,2674.51,226.38,10644.89,Yes,2.6,No
WON102837,2025-07-06,Bangalore,Friends Group,8,Regular,Mobile App,Offline/Hoarding,10,Monsoon,Yes,7603.2,2702.87,925.79,11231.86,No,1.8,Yes
WON100486,2025-07-06,Kochi,Couple,2,Fast Track,Mobile App,Email Campaign,20,Monsoon,Yes,3097.6,1115.52,310.77,4523.89,No,3.7,No
WON101422,2025-07-06,Bangalore,Couple,2,Regular,Corporate Tie-up,Search/SEM,20,Monsoon,Yes,1689.6,1043.06,262.2,2994.86,No,3.1,No
WON100324,2025-07-07,Kochi,Couple,2,Regular,Walk-in,None (Organic),0,Monsoon,No,1920.0,1191.67,73.07,3184.74,No,3.4,No
WON102064,2025-07-07,Hyderabad,Solo,1,Regular,Website,Search/SEM,10,Monsoon,No,864.0,397.37,67.2,1328.57,No,3.2,No
WON100458,2025-07-07,Bangalore,Friends Group,4,Regular,Website,Offline/Hoarding,10,Monsoon,No,3456.0,844.67,729.0,5029.67,Yes,3.2,No
WON102780,2025-07-07,Hyderabad,Friends Group,9,Regular,Walk-in,None (Organic),0,Monsoon,No,8640.0,3029.01,1857.39,13526.4,No,2.6,Yes
WON102601,2025-07-07,Bangalore,Family,4,Combo (Park+Resort),Website,Social Media Ad,0,Monsoon,No,12160.0,822.43,11.11,12993.54,No,2.7,Yes
WON102329,2025-07-07,Hyderabad,Family,5,Regular,Travel Agent/OTA,None (Organic),0,Monsoon,No,4800.0,1238.64,918.44,6957.08,No,2.7,Yes
WON102986,2025-07-07,Bangalore,Family,3,Regular,Walk-in,Search/SEM,0,Monsoon,No,2880.0,914.05,478.92,4272.97,No,2.2,Yes
